"ZIPCODE","STATE","YEAR","Latitude","Longitude","A00100","A07260"
48880,"MI",2009,43.4,-84.61,110570,158
48881,"MI",2009,42.92,-85.2,103267,163
48883,"MI",2009,43.52,-84.69,130287,215
48884,"MI",2009,43.21,-85.07,59014,90
48885,"MI",2009,43.25,-85.13,14314,18
48886,"MI",2009,43.42,-85.15,29642,66
48888,"MI",2009,43.29,-85.07,95245,144
48889,"MI",2009,43.3,-84.81,20974,37
48890,"MI",2009,42.76,-84.99,42889,56
48891,"MI",2009,43.39,-84.9,39084,71
48892,"MI",2009,42.66,-84.18,88593,116
48893,"MI",2009,43.69,-84.97,104726,195
48894,"MI",2009,42.92,-84.79,50692,103
48895,"MI",2009,42.68,-84.28,354088,465
48897,"MI",2009,42.72,-85.13,29355,52
48906,"MI",2009,42.79,-84.59,431689,522
48910,"MI",2009,42.7,-84.55,552813,812
48911,"MI",2009,42.67,-84.57,631264,648
48912,"MI",2009,42.74,-84.52,275910,366
48915,"MI",2009,42.74,-84.57,133342,183
48917,"MI",2009,42.73,-84.64,770328,854
48933,"MI",2009,42.73,-84.55,32446,0
49001,"MI",2009,42.27,-85.58,295932,343
49002,"MI",2009,42.2,-85.56,446477,472
49004,"MI",2009,42.35,-85.56,317726,349
49006,"MI",2009,42.29,-85.63,307013,368
49007,"MI",2009,42.3,-85.59,251485,63
49008,"MI",2009,42.26,-85.62,429555,426
49009,"MI",2009,42.3,-85.7,1138437,924
49010,"MI",2009,42.52,-85.84,314905,407
49011,"MI",2009,42.08,-85.23,39828,53
49012,"MI",2009,42.33,-85.35,106122,120
49013,"MI",2009,42.31,-86.11,71952,78
49014,"MI",2009,42.31,-85.11,404368,504
49015,"MI",2009,42.29,-85.22,625120,693
49017,"MI",2009,42.4,-85.22,428535,509
49021,"MI",2009,42.44,-85.01,123196,174
49022,"MI",2009,42.11,-86.44,381323,411
49024,"MI",2009,42.2,-85.59,836379,800
49026,"MI",2009,42.38,-85.95,33763,44
49028,"MI",2009,41.87,-85.19,94598,107
49029,"MI",2009,42.1,-85.07,28740,48
49030,"MI",2009,41.84,-85.32,35269,49
49031,"MI",2009,41.91,-86,143887,155
49032,"MI",2009,41.92,-85.52,45989,49
49033,"MI",2009,42.27,-85.06,44101,78
49034,"MI",2009,42.23,-85.33,53673,71
49036,"MI",2009,41.94,-85,397708,500
49037,"MI",2009,42.32,-85.26,250994,252
49038,"MI",2009,42.18,-86.3,173867,219
49040,"MI",2009,41.95,-85.32,50177,61
49042,"MI",2009,41.83,-85.66,76167,83
49043,"MI",2009,42.29,-86.26,26055,30
49045,"MI",2009,42.1,-85.97,90724,119
49046,"MI",2009,42.49,-85.4,145210,206
49047,"MI",2009,41.98,-86.11,231632,246
49048,"MI",2009,42.24,-85.48,386755,450
49050,"MI",2009,42.5,-85.25,33703,49
49051,"MI",2009,42.19,-85.24,63871,61
49052,"MI",2009,42.11,-85.35,18769,16
49053,"MI",2009,42.29,-85.41,157936,164
49055,"MI",2009,42.36,-85.87,112844,174
49056,"MI",2009,42.4,-86.07,53097,88
49057,"MI",2009,42.2,-86.16,88053,91
49058,"MI",2009,42.65,-85.28,471620,385
49060,"MI",2009,42.44,-85.37,90864,59
49061,"MI",2009,41.91,-85.81,26610,37
49064,"MI",2009,42.21,-86.05,65222,117
49065,"MI",2009,42.16,-85.84,140243,170
49066,"MI",2009,42.03,-85.35,9856,15
49067,"MI",2009,42.02,-85.81,79523,90
49068,"MI",2009,42.26,-84.95,350414,474
49070,"MI",2009,42.53,-85.63,43955,64
49071,"MI",2009,42.21,-85.78,284451,250
49072,"MI",2009,42,-85.45,59828,71
49073,"MI",2009,42.6,-85.09,77547,111
49076,"MI",2009,42.44,-84.92,72650,91
49078,"MI",2009,42.45,-85.69,180549,233
49079,"MI",2009,42.21,-85.89,265746,352
49080,"MI",2009,42.44,-85.64,329791,360
49082,"MI",2009,41.94,-84.88,100729,126
49083,"MI",2009,42.37,-85.45,267603,287
49085,"MI",2009,42.03,-86.45,771691,680
49087,"MI",2009,42.11,-85.63,169059,248
49088,"MI",2009,42.19,-85.41,97177,151
49089,"MI",2009,42,-85.24,25837,37
49090,"MI",2009,42.4,-86.27,275549,337
49091,"MI",2009,41.8,-85.42,323114,391
49092,"MI",2009,42.09,-84.98,37581,66
49093,"MI",2009,41.94,-85.63,313454,365
49094,"MI",2009,42.06,-85.14,65925,96
49095,"MI",2009,41.91,-85.91,41894,57
49096,"MI",2009,42.62,-85.02,57979,89
49097,"MI",2009,42.12,-85.53,269390,300
49098,"MI",2009,42.18,-86.25,100749,95
49099,"MI",2009,41.79,-85.64,99105,117
49101,"MI",2009,41.95,-86.48,66035,78
49102,"MI",2009,41.94,-86.26,28014,36
49103,"MI",2009,41.94,-86.34,202575,224
49106,"MI",2009,41.94,-86.56,108248,120
